term,r,tau
smoothed_bigram,0.8771470447553855,0.6697755981614988
hayes_phonetic_features,0.7406334443173089,0.6740704640463273
hayes_learned_features,0.8189757220124207,0.6346995144659348
bl_continuous_pmi,0.825297455626765,0.6998793267204919
bl_discrete_binary_phonetic,0.7851528714128853,0.6462435420113103
bl_discrete_binary_learned,0.8036850301395118,0.6595635737944359
max_sc_cov,0.7536288096110837,0.6103722786580346
bl_continuous_lm_token,0.693235633901354,0.6013994350081208
bl_discrete_lm_token,0.7072665874004852,0.5760913746201821
hayes_learned_features_lm_token,0.7816060706664545,0.6327600501047732
bl_continuous_lm_laplace,0.6543839740224179,0.6537915600217481
bl_continuous_lm_type_1,0.7471602567414287,0.6517347615702925
bl_continuous_lm_type_2,0.6997835541922406,0.694975713603342
