word,score
BL,3.3782728
BL,3.3782728
BR,3.4330537
BR,3.4330537
BW,14.042071
BW,14.042071
DG,34.115784
DG,34.115784
DN,34.189133
DN,34.189133
DR,3.9792647
DR,3.9792647
DW,7.215
DW,7.215
FL,3.1286688
FL,3.1286688
FN,28.004595
FN,28.004595
FR,3.591499
FR,3.591499
FW,14.0824375
FW,14.0824375
GL,4.081383
GL,4.081383
GR,3.2392018
GR,3.2392018
GW,8.60031
GW,8.60031
KL,3.167811
KL,3.167811
KM,18.171682
KM,18.171682
KR,3.251056
KR,3.251056
KW,3.519932
KW,3.519932
LM,158.52689
LM,158.52689
LN,71.08467
LN,71.08467
LT,178.0608
LT,178.0608
ML,57.516785
ML,57.516785
MR,34.64126
MR,34.64126
NL,135.10098
NL,135.10098
PK,16.116116
PK,16.116116
PL,3.4018617
PL,3.4018617
PR,2.494126
PR,2.494126
PW,10.242842
PW,10.242842
RD,122.9416
RD,122.9416
RG,201.81253
RG,201.81253
RL,42.187103
RL,42.187103
RN,73.836784
RN,73.836784
SHL,13.851654
SHL,13.851654
SHM,55.012306
SHM,55.012306
SHN,55.478786
SHN,55.478786
SHR,5.797747
SHR,5.797747
SHW,13.933957
SHW,13.933957
SM,4.510678
SM,4.510678
SN,4.5358367
SN,4.5358367
SW,3.6656337
SW,3.6656337
THW,9.675372
THW,9.675372
TL,9.701099
TL,9.701099
TR,2.9603086
TR,2.9603086
TW,4.389687
TW,4.389687
VL,117.46736
VL,117.46736
VR,86.90728
VR,86.90728
VW,81.95055
VW,81.95055
ZR,74.38982
ZR,74.38982
